ID,Invoice Number,Total
3670,INV/2014/I55060,117.074766355
2778,INV/2014/S54973,963
2777,INV/2014/S54972,896.125
2776,INV/2014/S54957,2461
2775,INV/2014/S54942,3691.5
2774,INV/2014/S54933,3615.53
2773,INV/2014/S54928,1608.21
2772,INV/2014/S54842,1579.32
2771,INV/2014/S54827,642
2770,INV/2014/S54818,2145.35
2769,INV/2014/S54817,1909.95
2768,INV/2014/S54811,297.46
2767,INV/2014/S54809,635.58
2766,INV/2014/S54790,32.1
2765,INV/2014/S54770,214.8025
2763,INV/2014/S54755,334.375
2762,INV/2014/S54751,347.75
2761,INV/2014/S54750,2364.7
2760,INV/2014/S54743,498.085
2759,INV/2014/S54703,102.72
2758,INV/2014/S54702,6789.15
2757,INV/2014/S54701,506.6985
2756,INV/2014/S54665,3402.6
2755,INV/2014/S54664,2969.25
2754,INV/2014/S54649,416.8934
2753,INV/2014/S54646,3271.03
2752,INV/2014/S54638,3381.2
2751,INV/2014/S54636,1112.8
2750,INV/2014/S54608,606.69
2749,INV/2014/S54581,625.95
2748,INV/2014/S54528,2386.1
2747,INV/2014/S54567,1917.975
2746,INV/2014/S54561,1218.4411
2745,INV/2014/S54553,329.881
2744,INV/2014/S54552,821.76
2743,INV/2014/S54557,973.7
2742,INV/2014/S54547,1401.87
2571,INV/2014/S54891,32.1
2570,INV/2014/S54837,358.985
2567,INV/2014/S54768,350.532
2565,INV/2014/I55026,5012.0084
2564,INV/2014/I55029,273
2563,INV/2014/I55007,2432.5
2562,INV/2014/I54975,2797.5
2561,INV/2014/I54958,
2560,INV/2014/I54956,40185.99
2559,INV/2014/I55014,239.55
2558,INV/2014/I54955,139
2557,INV/2014/I54948,1381.03
2556,INV/2014/I54944,1626.936
2555,INV/2014/I54938,789.75
2554,INV/2014/I54941,861.7
2553,INV/2014/I54936,559
2552,INV/2014/I54945,933.9
2551,INV/2014/I54937,139
2550,INV/2014/I54934,780.03
2549,INV/2014/I54932,1134
2548,INV/2014/I54930,298
2547,INV/2014/I54929,875
2546,INV/2014/I54913,338
2545,INV/2014/I54922,250.112149533
2544,INV/2014/I54921,1148.25233645
2543,INV/2014/I54920,15.953271028
2542,INV/2014/I54909,209.25
2541,INV/2014/I54899,3399.25
2540,INV/2014/I54906,331.9
2539,INV/2014/I54904,32
2538,INV/2014/I54897,249
2537,INV/2014/I54889,534.112149533
2536,INV/2014/I54919,512.037383178
2535,INV/2014/I54918,440.476635514
2534,INV/2014/I54917,96.26
2533,INV/2014/I54888,415.5
2532,INV/2014/I54916,123.38317757
2531,INV/2014/I54915,610.97
2530,INV/2014/I54872,937.5
2529,INV/2014/I54869,2754.75
2528,INV/2014/I54866,765.0714
2527,INV/2014/I54865,375.75
2526,INV/2014/I54863,355.25
2525,INV/2014/I54831,5499.8
2524,INV/2014/I54847,
2523,INV/2014/I54850,1000
2522,INV/2014/I54844,534.112149533
2521,INV/2014/I54843,1100
2520,INV/2014/I54857,535.7
2519,INV/2014/I54841,69
2518,INV/2014/I54856,936.52
2517,INV/2014/I54855,350.76635514
2516,INV/2014/I54830,1160.95
2515,INV/2014/I54829,1952
2514,INV/2014/I54828,464
2513,INV/2014/I54823,2292.5
2512,INV/2014/I54854,1039.72
2511,INV/2014/I54824,1248
2510,INV/2014/I54822,1071.2
2509,INV/2014/I54853,1630.75
2508,INV/2014/I54821,250
2507,INV/2014/I54820,70
2506,INV/2014/I54819,748
2505,INV/2014/I54816,129
2504,INV/2014/I54815,170
2503,INV/2014/I54808,765.1
2502,INV/2014/I54806,2863.75
2501,INV/2014/I54795,576.1
2500,INV/2014/I54794,371.25
2499,INV/2014/I54814,48
2498,INV/2014/I54813,606
2497,INV/2014/I54789,2638.941
2496,INV/2014/I54788,1659.0885
2495,INV/2014/I54792,500
2494,INV/2014/I54791,354.5
2493,INV/2014/I54895,147
2492,INV/2014/I54852,56.1869158879
2491,INV/2014/I54851,468.65
2490,INV/2014/I54786,231
2489,INV/2014/I54785,255.1
2488,INV/2014/I54784,726
2487,INV/2014/I54764,4311.3
2486,INV/2014/I54826,1490.04
2485,INV/2014/I54825,170.68
2484,INV/2014/I54767,198
2483,INV/2014/I54766,268
2482,INV/2014/I54765,66.3
2481,INV/2014/I54759,1008
2480,INV/2014/I54761,1874
2479,INV/2014/I54754,714
2478,INV/2014/I54753,129
2477,INV/2014/I54752,548.4
2476,INV/2014/I54749,405.02175
2475,INV/2014/I54894,1870
2474,INV/2014/I54747,458
2473,INV/2014/I54746,437.3
2472,INV/2014/I54745,187.1
2471,INV/2014/I54758,1494.9
2470,INV/2014/I54757,1823.86
2469,INV/2014/I54741,1506.22
2468,INV/2014/I54727,300
2467,INV/2014/I54739,998
2466,INV/2014/I54738,754
2465,INV/2014/I54729,250
2464,INV/2014/I54728,194.65
2463,INV/2014/I54726,687.0042
2462,INV/2014/I54724,1549.1
2461,INV/2014/I54717,125
2460,INV/2014/I54716,69
2459,INV/2014/I54715,1051
2458,INV/2014/I54708,1485
2457,INV/2014/I54704,649.5
2456,INV/2014/I54756,649.97
2455,INV/2014/I54707,537.72
2454,INV/2014/I54706,171
2453,INV/2014/I54705,39
2452,INV/2014/I54697,9731.65
2451,INV/2014/I54700,257.5
2450,INV/2014/I54699,47
2449,INV/2014/I54698,636
2448,INV/2014/I54696,4014.64
2447,INV/2014/I54695,1622.75
2446,INV/2014/I54694,535.252717
2445,INV/2014/I54693,259
2444,INV/2014/I54896,125
2443,INV/2014/I54692,1061.8
2442,INV/2014/I54691,2429.25
2441,INV/2014/I54687,468.75
2440,INV/2014/I54689,178.8
2439,INV/2014/I54688,1785.5
2438,INV/2014/I54686,1006.375
2437,INV/2014/I54685,1316.1
2436,INV/2014/I54684,1052.88
2435,INV/2014/I54683,1316.1
2434,INV/2014/I54682,789.66
2433,INV/2014/I54681,701.92
2432,INV/2014/I54677,401.1
2431,INV/2014/I54680,318.8
2430,INV/2014/I54679,372.5
2429,INV/2014/I54678,1472
2428,INV/2014/I54690,7147.41
2427,INV/2014/I54676,94
2426,INV/2014/I54675,231.2
2425,INV/2014/I54674,103.9
2424,INV/2014/I54673,314
2423,INV/2014/I54669,319
2422,INV/2014/I54668,311
2421,INV/2014/I54667,1933.8
2420,INV/2014/I54666,1308.75
2419,INV/2014/I54658,262.5
2418,INV/2014/I54663,138
2417,INV/2014/I54662,99
2416,INV/2014/I54654,200
2415,INV/2014/I54656,194
2414,INV/2014/I54655,2179
2413,INV/2014/I54653,742.5
2412,INV/2014/I54672,20.3831775701
2411,INV/2014/I54671,1802.11
2410,INV/2014/I54652,378.5232
2409,INV/2014/I54651,27.5
2408,INV/2014/I54650,250
2407,INV/2014/I54648,438
2406,INV/2014/I54647,392.9
2405,INV/2014/I54643,840
2404,INV/2014/I54645,39
2403,INV/2014/I54644,364
2402,INV/2014/I54637,3084.3713
2401,INV/2014/I54670,349.392523364
2400,INV/2014/I54642,95.2
2399,INV/2014/I54641,2016
2398,INV/2014/I54640,456
2397,INV/2014/I54639,38.52
2396,INV/2014/I54634,461.69
2395,INV/2014/I54629,1225
2394,INV/2014/I54633,239.79
2393,INV/2014/I54632,
2392,INV/2014/I54631,354
2391,INV/2014/I54630,248
2390,INV/2014/I54628,701.92
2389,INV/2014/I54627,1052.88
2388,INV/2014/I54626,1316.1
2387,INV/2014/I54625,1052.88
2386,INV/2014/I54624,3070.9
2385,INV/2014/I54623,1579.32
2384,INV/2014/I54416,2221.04
2383,INV/2014/I54635,295.2
2382,INV/2014/I54622,80.1
2381,INV/2014/I54621,116.71
2380,INV/2014/I54620,1274
2379,INV/2014/I54614,147.06
2378,INV/2014/I54613,2108
2377,INV/2014/I54612,26
2376,INV/2014/I54611,2055.74285
2375,INV/2014/I54610,499
2374,INV/2014/I54609,1180
2373,INV/2014/I54607,32
2372,INV/2014/I54606,39
2371,INV/2014/I54605,701.92
2370,INV/2014/I54604,701.92
2369,INV/2014/I54603,701.92
2368,INV/2014/I54602,701.92
2367,INV/2014/I54601,1049.67
2366,INV/2014/I54600,701.92
2365,INV/2014/I54599,3162.92
2364,INV/2014/I54598,701.92
2363,INV/2014/I54597,701.92
2362,INV/2014/I54588,187.5068
2361,INV/2014/I54587,691.5089
2360,INV/2014/I54586,691.5089
2359,INV/2014/I54595,128
2358,INV/2014/I54594,307.5
2357,INV/2014/I54591,1124.67
2356,INV/2014/I54590,57.01
2355,INV/2014/I54593,331.5
2354,INV/2014/I54592,2465.8
2353,INV/2014/I54585,1260
2352,INV/2014/I54580,949.74
2351,INV/2014/I54584,78
2350,INV/2014/I54583,1078.4
2349,INV/2014/I54582,514
2348,INV/2014/I54596,2673.91
2347,INV/2014/I54589,20.02
2346,INV/2014/I54576,68
2345,INV/2014/I54575,329.025
2344,INV/2014/I54574,207
2343,INV/2014/I54566,1294
2342,INV/2014/I54573,1643.56
2341,INV/2014/I54570,899
2340,INV/2014/I54569,250
2339,INV/2014/I54568,479
2338,INV/2014/I54563,281.2602
2337,INV/2014/I54562,429.7548
2336,INV/2014/I54560,451
2335,INV/2014/I54559,130
2334,INV/2014/I54556,99
2333,INV/2014/I54555,578
2332,INV/2014/I54554,164
2331,INV/2014/I54551,802.2432
2330,INV/2014/I54548,5414.2
2329,INV/2014/I54550,153.2
2328,INV/2014/I54549,860.5
2327,INV/2014/I54546,22467.86
2326,INV/2014/I54545,1712.963
2325,INV/2014/I54564,501.75
2324,INV/2014/I54544,1750
2323,INV/2014/I54543,499
2322,INV/2014/I54542,60
2321,INV/2014/I54541,
1245,INV/2014/I55038,718.0984
1240,INV/2014/I55035,398.37
1235,INV/2014/I55030,77.5
1231,INV/2014/I55023,117.074766355
1230,INV/2014/I55022,1947.23
1227,INV/2014/I55011,296
1226,INV/2014/I55009,859
1222,INV/2014/I55021,190.813084112
1220,INV/2014/I55006,1267.81
1209,INV/2014/I55001,134.95
1202,INV/2014/I54987,289
1201,INV/2014/I55019,47.98
1198,INV/2014/I54982,337
1196,INV/2014/I55016,211.785046729
1195,INV/2014/I54981,372
1193,INV/2014/I54979,846.9
1191,INV/2014/I54970,112.5
1190,INV/2014/I54969,580.5
1179,INV/2014/I54949,1061.44
1178,INV/2014/I55015,228.32
1176,INV/2014/I54953,113.8
1175,INV/2014/I54952,75
1173,INV/2014/I54947,192.57
1172,INV/2014/I54940,300.4
1169,INV/2014/I54946,144.59
1168,INV/2014/I54931,499
1167,INV/2014/I54926,788
1165,INV/2014/I54914,774.5
1164,INV/2014/I54923,123.38317757
1161,INV/2014/I54910,701.4
1159,INV/2014/I54907,615
1155,INV/2014/I54902,851
1153,INV/2014/I54900,161
1150,INV/2014/I54893,925
1139,INV/2014/I54877,89
1137,INV/2014/I54870,2889
1136,INV/2014/I54874,1688.9
1132,INV/2014/I54867,99
1130,INV/2014/I54858,691.4
1129,INV/2014/I54861,155
1128,INV/2014/I54846,143.56
1126,INV/2014/I54848,61
1124,INV/2014/I54840,916
1120,INV/2014/I54832,125
1111,INV/2014/I54834,622
1107,INV/2014/I54793,14445
1066,INV/2014/I54657,606.3155
