"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_9995","Purchases - JMD","48.0","Monofin Mermaid","","","EXJ/2014/I3374","Finis (Do Not Use)","Mermaid Fin Purple","4.0","","","","12.0","Unit(s)",""
"__export__.account_invoice_line_9996","Purchases - JMD","50.16","Agility Paddle S","","","EXJ/2014/I3374","Finis (Do Not Use)","Agility Paddle Small","6.0","","","","8.36","Unit(s)",""
"__export__.account_invoice_line_9997","Purchases - JMD","83.6","Agility Paddle M","","","EXJ/2014/I3374","Finis (Do Not Use)","Agility Paddle Medium","10.0","","","","8.36","Unit(s)",""
"__export__.account_invoice_line_9998","Purchases - JMD","66.88","Agility Paddle L","","","EXJ/2014/I3374","Finis (Do Not Use)","Agility Paddle Large","8.0","","","","8.36","Unit(s)",""
"__export__.account_invoice_line_9999","Purchases - JMD","18.24","Finis Silicone Swim Cap Solid","","","EXJ/2014/I3374","Finis (Do Not Use)","Corporate Gifts #1","6.0","","","","3.04","Unit(s)",""
"__export__.account_invoice_line_10000","Purchases - JMD","43.2","Ear Plug - Clear  ","","","EXJ/2014/I3374","Finis (Do Not Use)","Ear Plug","24.0","","","","1.8","Unit(s)",""
"__export__.account_invoice_line_10001","Purchases - JMD","36.48","Goggle Lightning Blue/Mirror","","","EXJ/2014/I3374","Finis (Do Not Use)","Goggle Nova Blue/Mirror","6.0","","","","6.08","Unit(s)",""
"__export__.account_invoice_line_10002","Purchases - JMD","43.2","Nose Clip - Clear","","","EXJ/2014/I3374","Finis (Do Not Use)","Nose Clip Clear","24.0","","","","1.8","Unit(s)",""
"__export__.account_invoice_line_10003","Purchases - JMD","10.0","PDF S","","","EXJ/2014/I3374","Finis (Do Not Use)","Positive Drive Fin S","1.0","","","","10.0","Unit(s)",""
"__export__.account_invoice_line_10004","Purchases - JMD","39.0","PDF XXL","","","EXJ/2014/I3374","Finis (Do Not Use)","PDF XXL","3.0","","","","13.0","Unit(s)",""
"__export__.account_invoice_line_10005","Purchases - JMD","240.0","F Glide Snorkel Blue","","","EXJ/2014/I3374","Finis (Do Not Use)","Glide Snorkel Ocean Blue Sr","24.0","","","","10.0","Unit(s)",""
"__export__.account_invoice_line_10006","Purchases - JMD","240.0","F Glide Snorkel Orange","","","EXJ/2014/I3374","Finis (Do Not Use)","Glide Snorkel Sunset Orange Sr","24.0","","","","10.0","Unit(s)",""
