"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_1635","Purchases - JMD","10.0","Duty Advancement fee for Finis","","","EXJ/2013/S1976","Federal Express (Singapore) Pte Ltd ( FedEx )","Corporate Gifts #1","1.0","","","","10.0","Unit(s)",""
"__export__.account_invoice_line_1636","Purchases - JMD","18.43","Handling Fee for wahoo","","","EXJ/2013/S1977","DHL Express (Singapore) Pte Ltd","Corporate Gifts #1","1.0","","","","18.43","Unit(s)",""
"__export__.account_invoice_line_1637","Purchases - JMD","149.46","Reg Mail for wahoo","","","EXJ/2013/S1978","The Postal Connect","Corporate Gifts #1","1.0","","","","149.46","Unit(s)",""
"__export__.account_invoice_line_1638","Purchases - JMD","12.95","Reg Mail for Phosphor","","","EXJ/2013/S1978","The Postal Connect","Corporate Gifts #1","1.0","","","","12.95","Unit(s)",""
"__export__.account_invoice_line_1639","Purchases - JMD","14.18","Reg Mail for Finis","","","EXJ/2013/S1978","The Postal Connect","Corporate Gifts #1","1.0","","","","14.18","Unit(s)",""
"__export__.account_invoice_line_1640","Purchases - JMD","43.52","Reg Mail for Pogo","","","EXJ/2013/S1978","The Postal Connect","Corporate Gifts #1","1.0","","","","43.52","Unit(s)",""
"__export__.account_invoice_line_1641","Purchases - JMD","3.89","Reg Mail for 60Beat","","","EXJ/2013/S1978","The Postal Connect","Corporate Gifts #1","1.0","","","","3.89","Unit(s)",""
"__export__.account_invoice_line_1642","Purchases - JMD","149.53271028","Local Delivery for Dec","","","EXJ/2013/S1974","Ling Services","Corporate Gifts #1","1.0","","","","149.53271028","Unit(s)",""
"__export__.account_invoice_line_1643","Purchases - JMD","4457.1","Shirts & Jackets for Toshiba","","","EXJ/2013/S1982","Oren Sport (S) Pte Ltd","Corporate Gifts #1","1.0","","","SR","4457.1","Unit(s)",""
"__export__.account_invoice_line_1644","Purchases - JMD","70.0","100pcs of Ballpen with stylus","","","EXJ/2013/S1988","Neel's Pte Ltd","Corporate Gifts #1","1.0","","","SR","70.0","Unit(s)",""
"__export__.account_invoice_line_1645","Purchases - JMD","1185.25","120pcs of wine holder for Mediacorp","","","EXJ/2013/S1979","Guangzhou GiftTime Trading Company","Corporate Gifts #1","1.0","","","","1185.25","Unit(s)",""
"__export__.account_invoice_line_1646","Purchases - JMD","226.89","Courier from Wahoo","","","EXJ/2013/S1984","DHL Express (Singapore) Pte Ltd","Corporate Gifts #1","1.0","","","","226.89","Unit(s)",""
"__export__.account_invoice_line_1647","Purchases - JMD","65.61","Reg Mail for Wahoo","","","EXJ/2013/S1985","The Postal Connect","Corporate Gifts #1","1.0","","","","65.61","Unit(s)",""
"__export__.account_invoice_line_1648","Purchases - JMD","35.98","Reg Mail for Finis","","","EXJ/2013/S1985","The Postal Connect","Corporate Gifts #1","1.0","","","","35.98","Unit(s)",""
"__export__.account_invoice_line_1649","Purchases - JMD","14.25","Reg Mail for Pogo","","","EXJ/2013/S1985","The Postal Connect","Corporate Gifts #1","1.0","","","","14.25","Unit(s)",""
"__export__.account_invoice_line_1650","Purchases - JMD","3.89","Reg Mail for 60beat","","","EXJ/2013/S1985","The Postal Connect","Corporate Gifts #1","1.0","","","","3.89","Unit(s)",""
"__export__.account_invoice_line_1651","Purchases - JMD","150.0","100pcs of  A8  Logo for pen","","","EXJ/2013/S1989","Yihua Pte Ltd","Corporate Gifts #1","1.0","","","","150.0","Unit(s)",""
"__export__.account_invoice_line_1652","Purchases - JMD","43.56","Courier wave monofin to Australia","","","EXJ/2013/S2009","TNT Express Worldwide (Singapore) Pte Ltd","Corporate Gifts #1","1.0","","","","43.56","Unit(s)",""
