"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_13063","Sales - JMD","1725.0","USB Man Hub","","","INV/2014/0151","Monetary Authority of Singapore","Corporate Gifts #1","150.0","","","SR","11.5","Unit(s)",""
"__export__.account_invoice_line_13064","Sales - Products","515.0","[STRV01-004-0A] Striiv Touch - Black","","SO115","INV/2014/0170","Cara Lim","Striiv Touch - Black","5.0","10","SO115","SR","103.0","Unit(s)",""
"__export__.account_invoice_line_13065","Purchases - JMD","20.0","200 pcs envelope @ 0.10","","","EXJ/2014/0112","Refine Printing Pte Ltd","","1.0","","","TX","20.0","",""
"__export__.account_invoice_line_13066","Rents","2550.0","Rent 15/11/14-14/12/14","","","EXJ/2014/0113","Lee Liat Seng","","1.0","","","","2550.0","",""
"__export__.account_invoice_line_13067","Freight & Handling - Axtro Sports","29.73","Freight chgs fm fremont, california -finis product","","","EXJ/2014/0114","DHL Express (Singapore) Pte Ltd","","1.0","","","","29.73","",""
"__export__.account_invoice_line_13068","Provison for  Tax","4279.83","Tax paid on ya 2015 assessment est( $6114.05-30% rebate $1834.22)","","","EXJ/2014/0115","IRAS","","1.0","","","","4279.83","",""
"__export__.account_invoice_line_13069","Sales - Products","64.77","[LTK7C3001P1] LifeTrak C300 - intermitent LED screen blur out","","","SCNJ/2014/0004","Challenger Technologies Limited","LifeTrak C300","1.0","","","SR C","69.3","Unit(s)",""
"__export__.account_invoice_line_13070","Sales - Products","82.23","[LTK7C4102P3] LifeTrak C410 - intermitent led screen goes blank","","","SCNJ/2014/0004","Challenger Technologies Limited","LifeTrak C410","1.0","","","SR C","87.99","Unit(s)",""
"__export__.account_invoice_line_13071","Sales - Products","194.31","[LTK7C3001P1] LifeTrak C300","","SO116","INV/2014/0171","Cindy Heng (Accounts Payable)","LifeTrak C300","3.0","10","SO116","SR","64.77","Unit(s)",""
"__export__.account_invoice_line_13072","Sales - Products","351.3","[LTK7R45004] LifeTrak R450 Midnight Black/Freesia","","SO116","INV/2014/0171","Cindy Heng (Accounts Payable)","LifeTrak R450 Midnight Black/Freesia","3.0","10","SO116","SR","117.1","Unit(s)",""
