"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_3635","Sales - JMD","18.0","Finis Catalog 2008","","","INV/2013/I53228","CASH SALE","Finis Catalog 2008","20.0","","","SR","0.9","Unit(s)",""
"__export__.account_invoice_line_3636","Sales - JMD","56.0747663551","Finis 2010 Catalog","","","INV/2013/I53228","CASH SALE","Finis Catalog 2010","33.0","","","SR","1.6992353441","Unit(s)",""
"__export__.account_invoice_line_3637","Sales - JMD","","Extension Pole For Underwater Pace Clock","","","INV/2013/I53228","CASH SALE","","1.0","","","SR","","Unit(s)",""
"__export__.account_invoice_line_3638","Sales - JMD","","Goggle Thunder Black/Smoke","","","INV/2013/I53228","CASH SALE","Goggle Thunder Black","1.0","","","SR","","Unit(s)",""
"__export__.account_invoice_line_3639","Sales - JMD","","Goggle Thunder Clear/Clear","","","INV/2013/I53228","CASH SALE","Goggle Thunder Clear","1.0","","","SR","","Unit(s)",""
"__export__.account_invoice_line_3640","Sales - JMD","","Goggle Thunder Jade/Mirror","","","INV/2013/I53228","CASH SALE","Goggle Thunder Mirror","2.0","","","SR","","Unit(s)",""
"__export__.account_invoice_line_3641","Sales - JMD","","Hy2MaleRaceTight 24","","","INV/2013/I53228","CASH SALE","","1.0","","","SR","","Unit(s)",""
"__export__.account_invoice_line_3642","Sales - JMD","","Shirt D/F R/N Wh/Blk","","","INV/2013/I53228","CASH SALE","Shirt D/F R/N Wh/Blk","1.0","","","SR","","Unit(s)",""
"__export__.account_invoice_line_3643","Sales - JMD","","Shirt - D/F R/N RD XS 36","","","INV/2013/I53228","CASH SALE","Shirt - D/F R/N RD XS 36","4.0","","","SR","","Unit(s)",""
"__export__.account_invoice_line_3644","Sales - JMD","","Shirt - D/F R/N WH XS 36","","","INV/2013/I53228","CASH SALE","Shirt - D/F R/N WH XS 36","2.0","","","SR","","Unit(s)",""
