"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_5982","Sales - JMD","45.7943925234","iBike Dash CC","","","INV/2013/I53640","NETS Sales","iBike Dash CC","1.0","","","SR","45.7943925234","Unit(s)",""
"__export__.account_invoice_line_5983","Sales - JMD","92.523364486","Lifetrax C300","","","INV/2013/I53640","NETS Sales","Lifetrax C300","1.0","","","SR","92.523364486","Unit(s)",""
"__export__.account_invoice_line_5984","Sales - JMD","69.0","Z2 D 5.5-7","","","INV/2013/I53640","NETS Sales","Z2 Gold D","1.0","","","SR","69.0","Unit(s)",""
"__export__.account_invoice_line_5985","Sales - JMD","120.560747664","Fitbit Flex","","","INV/2013/I53641","CASH SALE","Fitbit Flex Accessory Band 3-pack (Large)","1.0","","","SR","120.560747664","Unit(s)",""
"__export__.account_invoice_line_5986","Sales - JMD","116.822429907","Lifetrak C410","","","INV/2013/I53641","CASH SALE","LifeTrak C410","1.0","","","SR","116.822429907","Unit(s)",""
"__export__.account_invoice_line_5987","Sales - JMD","","HyVelo Jammer 28","","","INV/2013/I53641","CASH SALE","HyVelo Jammer 28","1.0","","","SR","","Unit(s)",""
"__export__.account_invoice_line_5988","Sales - JMD","14.4018691589","Mesh Gear Bag  Blue","","","INV/2013/I53641","CASH SALE","Mesh Gear Bag Blue","1.0","","","SR","14.4018691589","Unit(s)",""
"__export__.account_invoice_line_5989","Sales - JMD","14.4018691589","Mesh Gear Bag - Pink","","","INV/2013/I53641","CASH SALE","Mesh Gear Bag Pink","1.0","","","SR","14.4018691589","Unit(s)",""
"__export__.account_invoice_line_5990","Sales - JMD","176.635514019","Withings Pulse","","","INV/2013/I53642","VISA","Withings Pulse","1.0","","","SR","176.635514019","Unit(s)",""
"__export__.account_invoice_line_5991","Sales - JMD","120.560747664","Fitbit Flex","","","INV/2013/I53643","CASH SALE","Fitbit Flex Accessory Band 3-pack (Large)","1.0","","","SR","120.560747664","Unit(s)",""
"__export__.account_invoice_line_5992","Sales - JMD","100.92","Lifetrax C300","","","INV/2013/I53660","Paypal","Lifetrax C300","1.0","","","","100.92","Unit(s)",""
"__export__.account_invoice_line_5993","Sales - JMD","364.66","Withings Pulse","","","INV/2013/I53660","Paypal","Withings Pulse","2.0","","","","182.33","Unit(s)",""
"__export__.account_invoice_line_5994","Sales - JMD","80.13","PDF XXL","","","INV/2013/I53660","Paypal","PDF XXL","1.0","","","","80.13","Unit(s)",""
"__export__.account_invoice_line_5995","Sales - JMD","25.77","Bar Fly","","","INV/2013/I53661","Paypal US$","Bar Fly","1.0","","","","25.77","Unit(s)",""
"__export__.account_invoice_line_5996","Sales - JMD","25.77","Bar Fly","","","INV/2013/I53661","Paypal US$","Bar Fly","1.0","","","","25.77","Unit(s)",""
"__export__.account_invoice_line_5997","Sales - JMD","38.32","iRun Advantage","","","INV/2013/I53661","Paypal US$","iRun Advantage","2.0","","","","19.16","Unit(s)",""
"__export__.account_invoice_line_5998","Sales - JMD","1295.38","Viiiiva Heart Rate Strap","","","INV/2013/I53662","Paypal US$","Viiiiva Heart Rate Strap","20.0","","","","64.769","Unit(s)",""
"__export__.account_invoice_line_5999","Sales - JMD","79.4392523364","Stationary Cords Ankle Strap","","","INV/2013/I53644","NETS Sales","Stationary Cords Ankle Strap","1.0","","","SR","79.4392523364","Unit(s)",""
"__export__.account_invoice_line_6000","Sales - JMD","42.0560747664","Floating Fins 7-9 Rd/Gy ","","","INV/2013/I53645","VISA","Long Floating Fin 7-9 Red/Gray","1.0","","","SR","42.0560747664","Unit(s)",""
"__export__.account_invoice_line_6001","Sales - JMD","29.9065420561","Goggle Lightning Mirror/Silver","","","INV/2013/I53645","VISA","Lightning Silver/ Mirror","1.0","","","SR","29.9065420561","Unit(s)",""
"__export__.account_invoice_line_6002","Sales - JMD","64.4859813084","Fisica Sensor Key for iPhone","","","INV/2013/I53646","CASH SALE","Fisica Sensor Key for iPhone","1.0","","","SR","64.4859813084","Unit(s)",""
"__export__.account_invoice_line_6003","Sales - JMD","","Floating Fins 7-9 Rd/Gy ","","","INV/2013/I53646","CASH SALE","Long Floating Fin 7-9 Red/Gray","1.0","","","SR","","Unit(s)",""
"__export__.account_invoice_line_6004","Sales - JMD","73.8317757009","Lifetrax C300","","","INV/2013/I53646","CASH SALE","Lifetrax C300","1.0","","","SR","73.8317757009","Unit(s)",""
"__export__.account_invoice_line_6005","Sales - JMD","185.981308411","Rapid Monofin","","","INV/2013/I53647","VISA","Rapid Monofin","1.0","","","SR","185.981308411","Unit(s)",""
