"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_7982","Sales - JMD","262.86","Lifetrak C410 (Item No: 20012289)","","","INV/2014/I54250","Epicentre Pte Ltd","LifeTrak C410","3.0","","","SR","87.62","Unit(s)",""
"__export__.account_invoice_line_7983","Sales - JMD","138.78","Lifetrak C300 (Item No: 20012288)","","","INV/2014/I54250","Epicentre Pte Ltd","LifeTrak C300","2.0","","","SR","69.39","Unit(s)",""
"__export__.account_invoice_line_7984","Sales - JMD","262.86","Lifetrak C410 (20012289)","","","INV/2014/I54251","Epicentre Pte Ltd","LifeTrak C410","3.0","","","SR","87.62","Unit(s)",""
"__export__.account_invoice_line_7985","Sales - JMD","138.78","Lifetrak C300 (20012288)","","","INV/2014/I54251","Epicentre Pte Ltd","LifeTrak C300","2.0","","","SR","69.39","Unit(s)",""
"__export__.account_invoice_line_7986","Sales - JMD","262.86","Lifetrak C410 (20012289)","","","INV/2014/I54252","Epicentre Pte Ltd","LifeTrak C410","3.0","","","SR","87.62","Unit(s)",""
"__export__.account_invoice_line_7987","Sales - JMD","138.78","Lifetrak C300 (20012288)","","","INV/2014/I54252","Epicentre Pte Ltd","LifeTrak C300","2.0","","","SR","69.39","Unit(s)",""
"__export__.account_invoice_line_7988","Sales - JMD","262.86","Lifetrak C410 (20012289)","","","INV/2014/I54253","Epicentre Pte Ltd","LifeTrak C410","3.0","","","SR","87.62","Unit(s)",""
"__export__.account_invoice_line_7989","Sales - JMD","138.78","Lifetrak C300 (20012288)","","","INV/2014/I54253","Epicentre Pte Ltd","LifeTrak C300","2.0","","","SR","69.39","Unit(s)",""
"__export__.account_invoice_line_7990","Sales - JMD","93.4579439252","iBike Dash CC","","","INV/2014/I54259","NETS Sales","iBike Dash CC","1.0","","","SR","93.4579439252","Unit(s)",""
"__export__.account_invoice_line_7991","Sales - JMD","116.822429907","Lifetrak C410","","","INV/2014/I54260","VISA","LifeTrak C410","1.0","","","SR","116.822429907","Unit(s)",""
